clause	polarity
最满意大汉无可匹敌的空间，	5
家里五口人，坐上去一点儿也不挤，还能把后排放下来，当成个大的后备箱。	5
舒适性也很好，坐上去无论是腿部还是腰部，都得到了不错的支撑，坐久了也不累。	5
只是卤素车灯太弱了，得自己去换成氙气的。	1
这个价格卖大汉我觉得很值。	5
科技感十足，配置太丰富了。	5
车身的外观确实不错，车在街上的回头率非常高。	5
路上有个哥们专门停车下来看，然后还询问我这个车到底怎么样。虚荣心得到最大的满足。	5
刚买2天，总体感觉还不错，	5
操控很好上手，	5
郁闷的是倒车影像罢工了，后备箱怎么关不严，看来得再跑一趟4S了	1
感觉还不错的内饰吧，整体的设计风格很简单，	5
但是毕竟还是价格方面的影响，用料上很粗糙，	1
做工还可以，不会是很满意，但是还是可以接受的。	4
开瑞优雅是我13年2月份入手的，是做生意拉货的，用起来使得心应手，很是不错，	5
外观够漂亮，操作很方便，舒适度也高，	5
希望更多朋友能来感受下	3
在2000转的转速时有点抖	1
120公里时速时发动机暴躁期声音比较大	1
胎噪大，特别是高速开后车窗时，如果车轮缝隙上在夹有石子，声音很不舒服。	1
我家的嘉嘉是2.0的，开起来那个动力哟，一溜眼儿，力很足，	5
过坎、过弯啥路况都能轻松应对，	5
还真是名不虚传的雪铁龙底盘技术啊，相当佩服。	5
同价位的情况下A30车配置要更好一些。	5
外形总体而言，还是比较中意，适合年轻人开，时尚，大方，动感十足，	5
车体外观，家庭使用，操控性能，在同等价位车型里来说是属于中高吧。	5
基本型没天窗，座椅似乎有些薄、硬。	1
似乎是前面的人调的座位不合适，坐得有些别扭，	1
视野不好：一个是车头显大，似乎有开普桑的感觉，	1
再一个座椅并没有象索兰托那样包着我，让我很舒适的“陷”在座位上。	1
从外观到内饰，从动力输出到操控感受又或是燃油经济性，各方面的表现都相当的不错，	5
这段时间开下来没有出过任何问题，	5
定期的维护保养费用也不高，	5
还真是挑不出什么毛病来，	5
像我这种蓝领阶层开开绝对算是神级车了～	5
我觉得凯美瑞的噪音大。	1
有些人可能不同意这一点，但你将凯美瑞开上高速试试，	1
特别是转速达到3000转以上后，那噪音就让你以为开的是10万元的车了而且发飘。	1
首先试驾福美来，声音确实大了些，但也可以接受，毕竟价格诱人，配置齐全，	4
虽说有些粗糙，但此价位已经是满足了。	4
2010年买的V3，小毛病不断。	1
刚开了4000多公里仪表就坏了，接着是大灯，接着是底盘。	1
那叫个郁闷啊。	1
而且4S店的有点乱收费的。	1
真后悔买这车	1
这个车型是用的出来的车型也是卖出来的车型，总的说还不错，	5
在胎燥音、硬底盘、后排座偏前、中控系统操作（软件丰富和优化）、中控台不能放东西等方面还望多多改进吧！	1
新小虎的外观设计十分新潮，	5
法国人的设计浪漫典雅，细节之处都融入了雪铁龙全新的设计理念，张扬的气质很令人倾心。	5
底盘异响，有时有叮当（或嚓啦嚓啦）的金属碰撞声音，郁闷至极，听声音好像是在车左后方向。	1
同样在车左后底部，减速或低速加速时，尤其是车身顿挫时，有吱扭吱扭的声音，	1
服务站查了两次底盘都没有查出原因，恨得我都想把车给砸了，	1
新C2新增的USB接口能极大方便音频来源的选择，	5
若能增加AUX接口那就更加完美了，	3
音响版面布局上面也发生了改变，银色圆形按钮更显精致一些，	5
总的来说，各方面的细节改进都很不错，	5
我个人非常满意。	5
我买了快一年了，转向灯坏了，	1
才买的时候，是前挡风玻璃有裂痕，换了块，	1
