clause	polarity
作为MG的粉丝，每辆车都有关注，MG6总体来说动力是比较强劲的，	5
外观很大气，	5
就是价格对于我来说有点小小接受不了。	2
外形比较时尚，	5
大眼睛比较喜欢，也很经典。	5
紧凑车型，也比较少长途用车，也没什么问题。	5
内饰的做工很好，比较精细，喜欢。	5
油耗自然也是很满意的了，	5
本田的车一直有个优势也就是油耗比较低，油费比较便宜。	5
有点太失望。	1
4800公里的时候，排气管子坏了。	1
现在9980公里。感觉排气管子又要坏！	1
动力太差，一档起步，必须给油。	1
刹车太肉！	1
人性化马3的遥控好像不能自动关闭未关好的车窗…	1
我也不知道能不能调。	1
按着LOCK半天，就不见那个玻璃有一丝动静。	1
经典全顺外形大灯很喜欢，	5
动力好，也省油，	5
只是挡把有点长了，不符合年轻人的习惯，	2
希望厂家做称像新世代全顺一样的挡把。	3
力帆X60虽然是一部微型轿车，但1.3L发动机所带来的动力却让人有些意外。	5
自动版的力帆X60配备最新自主研发的CVT自动变速箱，油门的反馈非常及时，	5
再加上较轻的车重，提速迅速，更是出乎意料之外。	5
经过一段时间使用，发动机及操控整体来说还是不错的，	5
但觉得发动机声音比大众的或日产大一点，特别是起动时要啪的响一下，	2
再外壳不是很结实（主要是防护壳手按上去很软的感觉），	2
再一个就是音响效果感觉不是很好.....	2
对它是一见钟情，开车在路上回头率也很高。	5
不过别人怎么看不重要，重要的是我喜欢，	5
外观和内饰设计得不错，我本人也有点外貌协会，比较看重外观。	5
我的感觉就是舒适。	5
真皮座椅包裹，就像家里的沙发一样，坐着很舒服。	5
空间又大，开久了也不会觉得很累，还可以躺着睡觉。	5
车子的操控也还是不错的，	5
总之很棒！	5
方向盘的确比以上车型要重，低速转弯和倒车会比较吃力，	1
但高速行驶时，给人比较平稳的感觉，	5
由于没有上高速，偶最多开到100，没机会体验100以上的感觉。	2
当然方向重有重的好处，道路的颠簸感传到方向盘上会减轻很多。	4
新车入手一周，跑了550公里，行车电脑显示油耗7.9升（我主要跑郊区）	5
发动机比较安静、	5
动力感觉还不错，	5
间对于我180CM的个头，并没觉得网上说的那样憋屈	5
外观特别是车尾设计，动力，操控，高科技配置，轮毂也很漂亮，	5
整体看上去就有很有范，	5
内饰的设计也是非常的满意的，用料足，	5
内饰设计大方得体，让人非常的满意。	5
不满意的一是没有座椅通风，	1
轮胎太扁平，过坎很颠。	1
原打算今天去定一台，试驾时动力强劲，内饰空间都比较满意，	5
但噪音太大，我老婆在后边都感觉头晕。	1
如果能把噪音降下去，我坚决支持国货。	3
ATS-L无论在内饰还是外观都值得夸赞，	5
整个设计偏向运动时尚，	5
且底盘非常棒。	5
