clause	polarity
原打算今天去定一台，试驾时动力强劲，内饰空间都比较满意，	5
但噪音太大，我老婆在后边都感觉头晕。	1
如果能把噪音降下去，我坚决支持国货。	3
结实有力的外观一看就知道这是款越野车，	5
在3.2L强大动力和扎实底盘的支持下，野外越野不在话下，	5
关键是还能保持良好的舒适性，这个很难得	5
第一感受，不拉货其实有很多选择，我说的是实话。	1
动力一般，夏天开了空调就惨不忍睹了。	1
噪音是最头疼的，	1
希望以后能改进！	3
奥迪TT的发动机动力强劲，加速有力，转速性能极佳，	5
路况表现非常完美，	5
其直接转弯反应也极其灵敏。	5
奥迪TT的设计十分精密，展示出超凡的驾驶舒适特性。	5
这款车外形比较漂亮，	5
而且内部空间宽畅，而且设计合理，	5
家人使用的话，应该比较合适。	5
今天去4S店了，服务态度不错，	5
看到车型基本上市满意的，就是价格还没有谈好，	5
希望买过车的可以给个参考价，1.6L带导航，带天窗的，谢谢大家了。	3
最喜欢的是这车的外观，	5
我也说过了我就是看上了这车的外观了，	5
整车优点大于缺点，	5
当然了，车无完车，缺点就是内饰中控台塑料感太强，有异响。	1
细节问题较多，	1
比如噪音大，离合器有异响，油耗没那么少，油漆比较薄，	1
冬天发动机声音响，还有什么电磁阀声音响	1
个人觉得这款车的外观非常漂亮，很大气，很显档次，	5
特别是白色的，走到哪儿都让人眼前一亮，回头率很高呀！	5
安全方面，买之前查了许多资料，这款车相对来说安全性能高一点，买了之后无论是开车还是坐车觉得很稳，没有飘得感觉。	5
确实是让人喜欢的一款车型。	5
最满意的就是这车的性价比了，真的是很省啊，不仅省钱还省事，而且看上去不比油车差。	5
就是后备箱空间太小，基本上放不了什么东西，和个摆设一样。	1
赛马稳重实用，	5
造型上特立独行但不怪异，	5
浑身充满力量感但不失儒雅稳重，	5
功能设置实用但不刻意讨巧，	5
内饰风格简朴但绝不低俗，	5
这就是哈飞赛马1.3标准型.	5
外观山寨就不用说我们接受，	5
内饰是几年前的设计已经OUT啦，	1
