clause	polarity
提车一个星期，过路面不平的地方明显感觉天窗异响，	1
声音连续且明显，非常影响驾驶的舒适度…	1
希望现代能早日解决此问题！	3
加速够用，操控不错，	5
四驱越野性能可以应对绝大部分路面和泥地，	5
xdrive系统确保了4驱公路驾驶的安全性。	5
自己开车蛮猛的，没出过任何的小毛病，	5
这点非常满意。	5
感觉质量，品牌，品质，服务都很不错，	5
从心里讲，非常满意自己选了这款车！	5
外观真的很漂亮，特别是侧身和车尾很赞。	5
内饰用料很实诚，	5
钢琴烤漆，看上去的确是蛮有档次很有质感。	5
音响很给力，很有质感，基本能满足大部份人对音质的追求。	5
再就是动力强劲，超车的话完全不是事啊。	5
首先从外观来说，C5的外观大气，线条优美。	5
再就是这款车主打的是舒适性，也是实至名归。	5
总体来说C5还是很上档次的，	5
除了动力没有那么明显的优势，外观和其他一些细节都很到位，	5
我和家人都很满意这辆车。	5
浅色内饰可能有许多人喜欢，但我感觉比较中庸，看多了，实在没什么感觉	1
最让我难以接受的是仿胡桃木材料，大量用于方向盘，门和中控板。	1
可能有人喜欢，但我反而觉得降低了档次。	1
尤其是方向盘上的仿胡桃木，摸上去，硬硬的，没有质	1
操控性突出，耐整，耐操，	5
底盘扎实维修方便维护成本低，	5
配件便宜普及节能环保。	5
通过性超级棒。	5
市场保有量大，口碑好！	5
售后服务好！	5
喜欢铃木品牌，13年底赶上优惠果断入手1.6老款三厢的，	5
跑起来后方向盘很稳，	5
因为还在磨合期，发动机声音时有呼噜声，	1
希望首保过后能好点。	3
我第一次开这车，赶紧一下子就上手了！	5
车内视野很宽阔！	5
我朋友说比他悦翔的视野大多了，	5
发动机声音也小了很多！	5
电子方向很灵敏，方向盘很轻盈，方向感很强，	5
后视镜可以电动调节，全新爱丽舍还是比较厚道的。	5
喜欢小六的超大全景天窗，可以随时亲近自然，	5
最大的感受就是这车皮实耐用，	5
扎实的底盘和超高的离地间隙，复杂路况下也能轻松应对。	5
2.14号的这一天提的车很有纪念意义哦。	5
车子的外观很霸气，	5
车子的价格很满意，	5
油耗也蛮低的，	5
销售顾问的服务很满意。	5
总之很愉快的一次购车！	5
外观内饰都漂亮，	5
做工看上去也好呀。	5
希望它的可靠性也好，	3
如果性能稳定，这车必大卖。	1
因为这性价比，这尺寸，不是一般的给力呀。	5
以前的款式质量好，做工精细，美观。	5
新款噪音太大，做工粗糙，	1
感觉2.8L柴油款动力不够，越来越差了！	1
最满意大汉无可匹敌的空间，	5
家里五口人，坐上去一点儿也不挤，还能把后排放下来，当成个大的后备箱。	5
舒适性也很好，坐上去无论是腿部还是腰部，都得到了不错的支撑，坐久了也不累。	5
只是卤素车灯太弱了，得自己去换成氙气的。	1
这个价格卖大汉我觉得很值。	5
从操纵上看，方向盘指向清晰，车小，转弯，操纵都比较灵活。	5
大家关心的抖动问题没有，可以说一点不抖，	5
而且车静音好	5
买车就是看发动机好不好，铃木VVT发动机全国十大发动机，提速快省油兼顾，	5
提速一点都不含糊油门少踩一下就蹿出去了，驾驶感很好，	5
就是刹车比较软	1
外观超赞，法系车，配置比较丰富，做工也精致，	5
操控好，底盘调教的相当出色。	5
最主要的是车身特别安全！	5
底盘，同级别来说，算是优秀，高速稳当。	5
不满意的是刹车时，车快停这前会有“咯噔”的一声响，感觉起步容易串。	1
上档次，用料也厚道，	5
能驾乘触碰到的地方基本是软的。	5
那数字仪表盘，启动时的自检转动，尤其是那大大的转速表给你很科技前卫的享受	5
奔腾的尾部可能是外观设计的最大败笔，	1
不但没有高级车的感觉，甚至只能勉强达到中级车的标准，	1
而且远看比较象老款凯越和伊兰特，尤其是尾部转向灯过于单薄，	1
后备箱缝隙较大，和整体力量和阳刚之美格格不入，有失中级车水准。	1
骏捷外形充满中国元素，独特的中网和进气格栅是它的家族脸谱.	5
外观大气，中式风格独特充满东方神蕴，	5
漆面漂亮，内饰作工较好.接缝均匀.	5
在这个价位绅宝还是很不错的啊，	5
安全系统很棒，	5
舒适的操控性我也是很满意的。	5
外观也是很大气漂亮滴、	5
空间也是足够日常使用，本人个子本来也不是很高。	5
我只说一个问题就是夏天开空调那个噪音比飞机起飞还大，	1
4s店的人说正常这个就是新桑塔纳，处理不了，解决不了。	1
我都要气疯了。后悔呀。	1
2009年购车，到现在为止36000公里，四个门全坏，中控锁不起作用，	1
水泵一年后更换，空调声音大。	1
外形，还记得刚买这车的时候，开在路上会有人开车追着问这车在哪买的，	5
停车的时候也有人过来打听。	5
还有就是操控配置，在同级别SUV中配的比较全，安全有保证。	5
小三还是很不错的，家庭用非常好，	5
省油而且空间也不错，完全能满足一家三口带父母的出行。	5
价格便宜，外观、内饰都比较时尚，	5
工薪族开这车很合适。	5
新款b50，钣金太薄，	1
发动机噪音很大，就像开拖拉机一样，而且还有异响，减震还硬。	1
买回来一个心病。闹心啊！	1
一个月开总体感觉还不错，可能也因为本人没开过好车，所以没有对比吧。	5
首先内部空间不错，坐五个人不显太挤，	5
动力也比较足，超车时提速还行。	5
车辆整体做工也还不算太粗糙，	5
总之，作为入门车型我觉得还是不错的。	5
总体感觉车还是很给力的，实用价值还是很高的，	5
用起来也是很不错很给力。	5
包括动力操控都不错，	5
最主要外观很大气，牛逼啊，	5
价格便宜值得拥有。	5
总体来说X8的越野性能是很不错的，	5
空间也蛮大的适合家庭出去游玩，	5
缺点就是噪音有点大，	1
刚刚新车不觉得，开久了听到就有点心躁，但是是在高速的情况下哈。	1
朗逸的造型设计得不错，较老款棱角清晰，相当耐看，美观大方，有大家风范。	5
内部空间大，也比较宽敞，不会觉得拥挤。	5
油耗满意，控制也在合理的水平。	5
保养也比较便宜。	5
这车有点不好，跑到129KM会飘，稳定性也不怎么样，	1
价格也有点贵，在国产车里面都比较贵	1
质量一般，装饰业不好做工粗糙。	1
我建议买进口车，不要买国产车。	1
总的来说小三还是挺不错的，	5
虽然有点小瑕疵，但是也能接受，毕竟便宜嘛。	5
而且空间还那么大，动力也还挺足的，性价比真心挺高的。	5
唯一不爽的就是，起步有点肉肉的，	1
开了一段时间比想象的要好我很是喜欢。	5
配置和操控性都不错	5
大7全景摄像很智能，	5
还有高分辨率的显示屏也十分的高端，	5
相对来说，大7的性价比很高了。	5
同样价位的SUV，基本上找不到配置这么丰富的车型了。	5
外观大气，空间宽敞，内饰简洁。	5
但发现我的车方向往左偏，一、二档不好挂，不注意就会脱档。	1
太太太太太太费油了！	1
1.3的发动机能跑出10个油！	1
大灯罩子2年半不到就裂纹了，一个要150，真无语！	1
车灯不是很好，特别是近光，范围比较小。	1
大灯我也觉得不是很亮。	1
驾驶员侧车门控制区集成了门窗以及中控制锁的控制键，整体做工十分细致，间隙均匀。	5
使用时发现各按键的阻力适中没有松垮的感觉，	5
但是按键并没有采用静音设计，触点声很明显。	1
在外观内饰上，比较喜欢的就是前脸的重新设计和腰线的处理，	5
整车变得丰满；	5
内饰上的多功能方向盘和ECON系统还有那个很有诱惑力的一键启动，都是首先吸引到我的地方。	5
我的B30用了差不多半年，目前来说没有像别人说的那些小问题，	5
动力充裕，空间比较满意，	5
特别值得一提的还有ESP，定速巡航相当好用，	5
我上高速就靠它了。	5
天籁的外观和舒适性以及节油可称一流，	5
但安全性不咋的！	1
强烈要求全系标配车身稳定控制ESP和牵引力控制TCS！	3
这些十分有利安全而又不过多个二、三千元钱的装置在天籁身上不能只顶配才有啊！	1
尤其是在今年的纪念版上还是没加配，真想不通！	1
很适合我这个刚出来创业的小青年，	5
车子很实用，性价比高，价格又实惠公道，很划算的车。	5
空间也还挺大的，	5
选了这么久的车，最终的选择还是相当满意的。	5
新宝来我基本还喜欢，	5
就是车尾还不够好看，	1
